"","Estimate","Std..Error","z.value","Pr...z..","EstValue","Effect","factor"
"(Intercept)",-6.54394591784934,0.0269435330386244,-242.876311301431,0,"0.00143879989682864","0","(Intercept)"
"t",-0.239004693990452,0.0340202446115096,-7.02536671090227,2.1350474458525e-12,"0.00113292713355753","-0.212588813736577","T"
"c",-0.508837001891881,0.0308231852796509,-16.5082549799877,3.20003313989697e-61,"0.000864998383568372","-0.398805639703632","C"
"g",-0.58058253170715,0.0337960722841802,-17.1789942578303,3.81467440564817e-66,"0.000805112571816651","-0.440427697005498","G"
"CpG",0.0674112355071302,0.0117292695057423,5.7472663130579,9.06978206805652e-09,"0.00153913504052858","0.0697353008719958","CpG"
"Nonsyn",0.729721092347015,0.0280325836790432,26.031175031952,2.19808280570029e-149,"0.00298479316647238","1.0745019325143","Nonsyn"
"bigAAChange",0.129969957026875,0.0104931399342006,12.3861835296087,3.10470548514396e-35,"0.00163849693437418","0.138794170048044","AAChange"
"Core",0.0593527832916726,0.0169340670367215,3.50493376239542,0.000456720898290224,"0.0015267818350593","0.0611495305390241","Core"
"E1",-0.0877597996653175,0.0177898816430767,-4.93313004695963,8.09222371418933e-07,"0.00131791318011992","-0.084019130787519","E1"
"HVR1",-0.457112268745335,0.0595771246988894,-7.67261379355986,1.68526333795078e-14,"0.00091091753464656","-0.366890742309351","HVR1"
"E2",-0.103979190589017,0.0142733656119352,-7.28484040947366,3.22051306947754e-13,"0.00129670984843639","-0.0987559484160623","E2"
"NS1",-0.167132679430872,0.0308233722337874,-5.42227106635878,5.88465551086299e-08,"0.00121735038541658","-0.1539126544978","NS1"
"NS2",-0.134543039239748,0.0174167850110748,-7.72490670087485,1.11935298630931e-14,"0.0012576769413158","-0.12588474318914","NS2"
"NS5A",-0.0535264792925755,0.0127073910689073,-4.21223199965454,2.52859637249742e-05,"0.0013638108568947","-0.0521191585426319","NS5A"
"NS5B",0.0566374070723272,0.0136342744865984,4.15404626978855,3.26647078946363e-05,"0.00152264167156688","0.0582720188700621","NS5B"
"t:Nonsyn",0.167766124262484,0.0360989495381832,4.64739629293178,3.36150995649987e-06,"0.0017016110612721","0.18265998282509","T:Nonsyn"
"c:Nonsyn",0.171034253584123,0.0330725697289275,5.17148364901698,2.32242597423127e-07,"0.00170718124335539","0.186531391278462","C:Nonsyn"
"g:Nonsyn",-0.0898155500633652,0.0359922618201504,-2.49541277822895,0.0125810681236967,"0.00131520666249081","-0.0859002246318217","G:Nonsyn"
