"","type","mean","se"
"1","Ts",0.00482883068195663,7.62192466472396e-05
"2","Ts.syn",0.00809253050613054,9.81951763211792e-05
"3","Ts.ns",0.0033482419749124,6.37232532404237e-05
"4","Ts.stop",0.00202238115085714,4.75240846681083e-05
"5","Tv1",0.000514901656465833,2.49427926499322e-05
"6","Tv1.syn",0.00089199565946912,3.27137956993078e-05
"7","Tv1.ns",0.000411887613754576,2.23462406075367e-05
"8","Tv1.stop",0.000520680874444955,2.46843542132212e-05
"9","Tv2",0.00045010714342885,2.33214184481975e-05
"10","Tv2.syn",0.000596787470829805,2.67853099098186e-05
"11","Tv2.ns",0.000406804009050653,2.21305609469267e-05
"12","Tv2.stop",0.00059459867157617,2.8006591315695e-05
"13","Tvs",0.000965008799892111,3.41389969558751e-05
"14","All",0.00579383948178856,8.3448056147809e-05
"15","tvs.syn",0.00089199565946912,3.27137956993078e-05
"16","tvs.ns",0.000411887613754576,2.23462406075367e-05
"17","tvs.stop",0.000520680874444955,2.46843542132212e-05
"18","all.syn",0.00809253050613054,9.81951763211792e-05
"19","all.ns",0.0033482419749124,6.37232532404237e-05
"20","all.stop",0.00202238115085714,4.75240846681083e-05
