"","pos","lower","upper","lower.R","upper.R"
"1",342,6.70211963868013e-05,0.00168291992219777,4.69333470852046e-06,2.57458913239061e-05
"2",343,0.000112679432172306,0.00183736614801366,5.8670218873444e-06,2.64623381752653e-05
"3",344,2.96577517604373e-06,0.00120880303252709,7.26106057531909e-07,2.18586435645039e-05
"4",345,2.87098186641803e-05,0.00140481248263865,2.7058287656726e-06,2.26998372219256e-05
"5",346,3.1744764128405e-05,0.00131467200185721,1.84094380098991e-06,2.17787342941221e-05
"6",347,8.12128201469856e-05,0.00170024447398413,5.17004328969135e-06,2.45796490554964e-05
"7",348,1.93449921319956e-05,0.0013339849591283,2.32755508339034e-06,2.1656470815525e-05
"8",349,1.45019577231607e-05,0.00132515944293011,2.22015810307336e-06,2.1783269605031e-05
"9",350,6.85402876255955e-06,0.00116477736220233,6.64425920115657e-07,2.05969323040554e-05
"10",351,2.00787722388496e-05,0.00137753496050077,2.725526775733e-06,2.20643399381085e-05
"11",352,5.99049442301064e-05,0.00149770550363951,3.18478718253104e-06,2.3659900737756e-05
"12",353,7.53382905540756e-05,0.00162200577893758,4.27746512940867e-06,2.46143941756057e-05
"13",354,0.000439757786394871,0.00268401136685003,1.11932841770157e-05,3.05709030853692e-05
"14",355,0.000531825769636627,0.00289769002416984,1.24822777414517e-05,3.10295293956195e-05
"15",356,0.000569747615588963,0.00314137962020877,1.45507067831025e-05,3.25229484934647e-05
"16",357,0.000810772787727576,0.00239799273359514,5.02101882597306e-06,2.39306201419512e-05
"17",358,8.5874271085659e-05,0.00166887329314303,5.31881320880718e-06,2.30613439052071e-05
"18",359,0.000742968526289292,0.00322501804367489,1.37857965837757e-05,3.06091881555728e-05
"19",360,9.25242762384625e-06,0.00120794852631011,1.74500664367638e-06,1.96296927953771e-05
"20",361,0.0003907658018595,0.00246518061920443,9.99395076210129e-06,2.69971164915525e-05
"21",362,0.000306134437820023,0.00237308781998824,9.85507752536579e-06,2.75453715618804e-05
"22",363,0.000411630684129494,0.00255470583677281,1.06096873248433e-05,2.7844710061743e-05
"23",364,4.06489581137217e-05,0.00143796918748238,3.54267302958138e-06,2.15497297117585e-05
"24",365,5.66737286045069e-05,0.00144489506054157,3.5380020399395e-06,2.12440769412044e-05
"25",366,0.000125459696533228,0.00168382249326569,5.1708405097725e-06,2.26135264059186e-05
"26",367,4.20824429408024e-06,0.00107667219767186,5.75632229977549e-07,1.85540425265534e-05
"27",368,1.00931771413321e-05,0.00119422832910216,1.58617424677735e-06,1.95867018636003e-05
