"","pos","lower","upper","lower.R","upper.R"
"1",342,0.00217217115485847,0.00645317999863646,3.09726901755441e-05,4.96701086342494e-05
"2",343,0.00241532666763317,0.00678979604313119,3.18125087753278e-05,5.01871925178688e-05
"3",344,0.00227442607660067,0.00631075301182951,2.8482963050707e-05,4.71154916073278e-05
"4",345,0.00392339023961441,0.00913683390417173,3.95724132537571e-05,5.66784057108378e-05
"5",346,0.00166667707206357,0.00541007457487917,2.56199848107692e-05,4.32988450326744e-05
"6",347,0.00176181641707485,0.00562045190125535,2.67252735589388e-05,4.4177119395845e-05
"7",348,0.0028671250564909,0.00724889081760328,3.15499219958262e-05,4.83901270942799e-05
"8",349,0.00160216206895575,0.00530563604075238,2.52336970875079e-05,4.2591856693105e-05
"9",350,0.00465502611061301,0.00945888055077312,3.55356541054227e-05,5.26709370905663e-05
"10",351,0.00294200996527232,0.00746958146683701,3.29370384956656e-05,4.97454782821939e-05
"11",352,0.00219420665235606,0.00636940367367529,2.99467593328579e-05,4.80069320254661e-05
"12",353,0.0039883545458657,0.00910656057597669,3.8964677224945e-05,5.66437774860243e-05
"13",354,0.00148918254153265,0.00478668649938031,2.14280906305566e-05,3.99364423230119e-05
"14",355,0.00207676266127438,0.00586511737807236,2.60987783006267e-05,4.35747710115463e-05
"15",356,0.00444181250733619,0.00972150917863332,4.00918267775123e-05,5.65528800168503e-05
"16",357,0.00275592891810287,0.00679149802419531,2.84060103533933e-05,4.52046698134533e-05
"17",358,0.00323885745321518,0.00784394822003721,3.3498176991265e-05,4.90623285211443e-05
"18",359,0.0043589047197031,0.00935226988356293,3.69545323768302e-05,5.23589034328844e-05
"19",360,0.000655762361528954,0.00323653080494393,1.4758448361147e-05,3.12608469883966e-05
"20",361,0.00123737567943378,0.00430628316982131,1.92594136864307e-05,3.54654959232418e-05
"21",362,0.00862241317934669,0.0146593469378724,4.6841632370693e-05,6.23935519477723e-05
"22",363,0.000935045123332401,0.00383735246292541,1.77685857380155e-05,3.43091398783997e-05
"23",364,0.0025432912204383,0.0066314137243823,2.87675094357025e-05,4.46450227590443e-05
"24",365,0.00323824048608396,0.00749940216986066,3.02606399352698e-05,4.58082425760143e-05
"25",366,0.0050634925923133,0.0104071779595643,4.01139282333113e-05,5.51597238565759e-05
"26",367,0.00156762833793222,0.00459205949346762,1.88584271077743e-05,3.50887327447221e-05
"27",368,0.00400790827650157,0.00873472119771117,3.45364712088804e-05,4.99810977628532e-05
"28",369,0.00358657663791928,0.0077148514673649,2.89807087046534e-05,4.44638180390772e-05
"29",370,0.00632832743738394,0.0116882847880719,4.01647424427431e-05,5.50643126441992e-05
"30",371,0.00481962347023396,0.00994201190058471,3.80572762069419e-05,5.31567289134737e-05
"31",372,0.00593945321516719,0.0114107519813264,4.12299228333898e-05,5.62848866128015e-05
"32",373,0.00100005361381083,0.00389508442621482,1.76985208199916e-05,3.38060041432492e-05
"33",374,0.00372196336299349,0.00798960207101311,3.028209315615e-05,4.59155196136474e-05
"34",375,0.0026114841763834,0.00668731597174739,2.85491231001237e-05,4.41221884577515e-05
"35",376,0.0043682875245078,0.00919634514404024,3.54232814865829e-05,5.07701786086996e-05
"36",377,0.0120302683081153,0.0189156545684401,5.41682457964253e-05,6.90291500411421e-05
